id,naslov,tip,epizode,leto,ogledi,ocena
#area7338,Darker than Black: Kuro no Keiyakusha Gaiden,TV,(12 eps),2016,262'852,8.04
#area2924,ef: A Tale of Memories.,TV,(12 eps),2007,186'798,8.04
#area15,Eyeshield 21,TV,(145 eps),2005,111'947,8.04
#area268,Golden Boy,Movie,(1 eps),2015,24'822,8.04
#area2762,Igano Kabamaru,TV,(24 eps),1983,6'779,8.04
#area1089,Macross: Do You Remember Love?,Movie,(1 eps),1984,26'966,8.04
#area15689,Nekomonogatari: Kuro,TV,(4 eps),2012,274'160,8.04
#area25161,One Piece 3D2Y: Ace no shi wo Koete! Luffy Nakama Tono Chikai,TV,(78 eps),1990,10'913,8.04
#area2752,Tennis no Ouji-sama: Zenkoku Taikai-hen - Semifinal,TV,(25 eps),2011,145'534,8.04
#area4106,Trigun: Badlands Rumble,Movie,(1 eps),2010,87'921,8.04
#area11113,Usagi Drop Specials,TV,(13 eps),2016,72'166,8.04
#area36160,Yaoguai Mingdan 2nd Season,TV,(26 eps),2002,211'274,8.03
#area29093,Grisaia no Meikyuu: Caprice no Mayu 0,TV,(13 eps),2002,160'030,8.03
#area35111,Haikyuu!! Movie 4: Concept no Tatakai,Movie,(1 eps),2017,11'215,8.03
#area30415,High☆Speed!: Free! Starting Days,Movie,(1 eps),2015,42'790,8.03
#area1594,Jigoku Shoujo Futakomori,TV,(26 eps),2006,104'966,8.03
#area13767,Junjou Romantica OVA,TV,(51 eps),2003,54'159,8.03
#area416,Kurenai no Buta,Movie,(1 eps),1992,106'287,8.03
#area6774,Kuuchuu Buranko,TV,(11 eps),2009,56'987,8.03
#area1088,Macross,TV,(36 eps),1982,61'938,8.03
#area957,Saiunkoku Monogatari,TV,(39 eps),2006,64'089,8.03
#area2618,Takarajima,TV,(26 eps),1978,9'186,8.03
#area6586,Yume-iro Pâtissière,TV,(50 eps),2009,47'450,8.03
#area9513,Beelzebub,TV,(60 eps),2011,321'409,8.02
#area73,Full Metal Panic! The Second Raid,TV,(13 eps),2005,192'737,8.02
#area3014,Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai,Movie,(1 eps),1988,21'532,8.02
#area29095,Grisaia no Rakuen,TV,(10 eps),2015,197'527,8.02
#area27989,Hibike! Euphonium,TV,(13 eps),2015,218'442,8.02
#area2829,Ie Naki Ko Remy,TV,(23 eps),1996,10'234,8.02
#area7222,Macross F Movie 2: Sayonara no Tsubasa,Movie,(1 eps),2011,20'682,8.02
#area10721,Mawaru Penguindrum,TV,(24 eps),2011,199'609,8.02
#area24,School Rumble,TV,(26 eps),2004,222'681,8.02
#area11813,Shijou Saikyou no Deshi Kenichi OVA,TV,(51 eps),2008,836'098,8.02
#area31765,Sword Art Online Movie: Ordinal Scale,Movie,(1 eps),2017,266'673,8.02
#area32093,Tanaka-kun wa Itsumo Kedaruge,TV,(12 eps),2016,183'079,8.02
#area6582,Tentai Senshi Sunred 2nd Season,TV,(26 eps),2009,5'743,8.02
#area6505,There She Is!!,Movie,(1 eps),2005,48'178,8.02
#area28,Yakitate!! Japan,TV,(69 eps),2004,64'714,8.02
#area30279,Yuru Yuri San☆Hai!,TV,(12 eps),2015,71'160,8.02
#area24921,Aoki Hagane no Arpeggio: Ars Nova Cadenza,Movie,(1 eps),2015,20'232,8.01
#area22961,Date A Live: Encore,TV,(25 eps),2015,108'264,8.01
#area2158,Terra e... (TV),TV,(24 eps),2007,44'884,8.01
#area36214,Asagao to Kase-san.,Movie,(1 eps),2013,140'143,8.0
#area30364,Haikyuu!! Movie 2: Shousha to Haisha,Movie,(1 eps),2015,21'064,8.0
#area9289,Hanasaku Iroha,TV,(26 eps),2011,205'192,8.0
#area5781,Isekai no Seikishi Monogatari,TV,(12 eps),2012,113'189,8.0
#area16916,Kuroko no Basket: Tip Off,Movie,(1 eps),2013,15'387,8.0
#area85,Mobile Suit Zeta Gundam,TV,(50 eps),1985,39'663,8.0
#area17549,Non Non Biyori,TV,(12 eps),2013,205'590,8.0
#area27775,Plastic Memories,TV,(13 eps),2015,378'062,8.0
#area339,Serial Experiments Lain,TV,(13 eps),1998,311'997,8.0
#area12815,Shirokuma Cafe,TV,(50 eps),2012,59'251,8.0
#area22,Tennis no Ouji-sama,TV,(178 eps),2001,111'442,8.0
#area33064,Uchuu Senkan Yamato 2202: Ai no Senshi-tachi,TV,(34 eps),1996,65'451,7.99
#area1470,City Hunter,TV,(51 eps),1987,30'651,7.99
#area780,Detective Conan Movie 02: The Fourteenth Target,Movie,(1 eps),1998,35'744,7.99
#area8408,Durarara!! Specials,TV,(23 eps),2006,360'539,7.99
#area11135,Hybrid Child,Movie,(1 eps),2015,23'979,7.99
#area2143,Saiyuuki Reload: Burial,TV,(26 eps),2003,89'090,7.99
#area22319,Tokyo Ghoul,TV,(12 eps),2014,1'096'369,7.99
#area658,Touhai Densetsu Akagi: Yami ni Maiorita Tensai,TV,(26 eps),2005,63'943,7.99
#area10029,Coquelicot-zaka kara,Movie,(1 eps),2011,74'871,7.98
#area35120,Devilman: Crybaby,TV,(12 eps),2007,15'750,7.98
#area2623,Flanders no Inu (Movie),Movie,(1 eps),1997,12'512,7.98
#area4280,Kara no Kyoukai 4: Garan no Dou,Movie,(1 eps),2008,133'818,7.98
#area4985,Mahou Shoujo Lyrical Nanoha: The Movie 1st,Movie,(1 eps),2010,24'101,7.98
#area35073,Overlord II,TV,(13 eps),2018,299'611,7.98
#area33190,Planetarian: Hoshi no Hito,Movie,(1 eps),2016,22'675,7.98
#area849,Suzumiya Haruhi no Yuuutsu,TV,(14 eps),2006,568'633,7.98
#area3228,Zoku Sayonara Zetsubou Sensei,TV,(13 eps),2008,90'283,7.98
#area1485,Akachan to Boku,TV,(35 eps),1996,11'908,7.97
#area34944,Bungou Stray Dogs: Dead Apple,Movie,(1 eps),2018,38'144,7.97
#area10012,Carnival Phantasm,Movie,(1 eps),2010,95'499,7.97
#area3092,Junjou Romantica,TV,(12 eps),2008,152'063,7.97
#area429,Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,TV,(24 eps),2008,592'638,7.97
#area19111,Love Live! School Idol Project 2nd Season,TV,(13 eps),2014,148'162,7.97
#area3572,Macross F,TV,(25 eps),2008,112'246,7.97
#area22097,Magi: Sinbad no Bouken,TV,(12 eps),2007,222'627,7.97
#area26123,Seitokai Yakuindomo* OVA,Movie,(1 eps),2004,10'549,7.96
#area15809,Hataraku Maou-sama!,TV,(13 eps),2013,676'362,7.96
#area7062,Hidamari Sketch x ☆☆☆,TV,(12 eps),2010,19'069,7.96
#area187,Initial D Third Stage,Movie,(1 eps),2001,67'693,7.96
#area1695,Les Misérables: Shoujo Cosette,TV,(52 eps),2007,14'060,7.96
#area8310,Magic Kaito,Movie,(1 eps),2017,22'014,7.96
#area6377,Zan Sayonara Zetsubou Sensei,TV,(13 eps),2009,69'272,7.96
#area779,Detective Conan Movie 01: The Timed Skyscraper,Movie,(1 eps),1997,39'355,7.95
