id,naslov,tip,epizode,leto,ogledi,ocena
#area5114,Fullmetal Alchemist: Brotherhood,TV,(64 eps),2009,1'295'679,9.25
#area32281,Kimi no Na wa.,Movie,(1 eps),2016,832'933,9.16
#area9253,Steins;Gate,TV,(24 eps),2011,1'090'508,9.14
#area28977,Gintama°,TV,(51 eps),2015,219'264,9.13
#area11061,Hunter x Hunter (2011),TV,(148 eps),2011,793'554,9.11
#area820,Ginga Eiyuu Densetsu,TV,(51 eps),2011,230'798,9.1
#area35180,3-gatsu no Lion 2nd Season,TV,(22 eps),2017,108'259,9.06
#area15417,Gintama&amp;#039;: Enchousen,TV,(13 eps),2012,134'381,9.06
#area28851,Koe no Katachi,Movie,(1 eps),2016,596'238,9.03
#area15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie,(1 eps),2013,113'180,9.02
#area4181,Clannad: After Story,TV,(24 eps),2008,640'392,9.0
#area918,Gintama,TV,(201 eps),2006,489'438,9.0
#area34096,Gintama.,TV,(12 eps),2017,104'171,9.0
#area35247,Owarimonogatari 2nd Season,TV,(7 eps),2017,134'457,9.0
#area32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,TV,(10 eps),2016,285'085,8.98
#area2904,Code Geass: Hangyaku no Lelouch R2,TV,(25 eps),2008,840'351,8.94
#area199,Sen to Chihiro no Kamikakushi,Movie,(1 eps),2001,758'477,8.91
#area34599,Made in Abyss,TV,(13 eps),2017,398'209,8.89
#area23273,Shigatsu wa Kimi no Uso,TV,(22 eps),2014,784'666,8.87
#area28891,Haikyuu!! Second Season,TV,(25 eps),2015,369'017,8.86
#area31758,Kizumonogatari III: Reiketsu-hen,Movie,(1 eps),2017,152'317,8.86
#area33095,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV,(12 eps),2017,83'651,8.85
#area37991,JoJo no Kimyou na Bouken: Ougon no Kaze,TV,(39 eps),2018,80'797,8.84
#area37491,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,TV,(14 eps),2018,36'123,8.83
#area24701,Mushishi Zoku Shou 2nd Season,TV,(10 eps),2014,128'029,8.82
#area1,Cowboy Bebop,TV,(26 eps),1998,763'640,8.81
#area36838,Gintama.: Shirogane no Tamashii-hen,TV,(12 eps),2018,54'574,8.81
#area263,Hajime no Ippo,TV,(75 eps),2000,246'858,8.79
#area164,Mononoke Hime,Movie,(1 eps),1997,546'782,8.79
#area1575,Code Geass: Hangyaku no Lelouch,TV,(25 eps),2006,1'047'669,8.78
#area44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,TV,(26 eps),2013,328'391,8.77
#area21939,Mushishi Zoku Shou,TV,(10 eps),2014,156'046,8.76
#area12355,Ookami Kodomo no Ame to Yuki,Movie,(1 eps),2012,386'772,8.75
#area457,Mushishi,TV,(26 eps),2005,432'930,8.74
#area33486,Boku no Hero Academia 2nd Season,TV,(25 eps),2017,704'613,8.73
#area245,Great Teacher Onizuka,TV,(43 eps),1999,384'041,8.73
#area431,Howl no Ugoku Shiro,Movie,(1 eps),2004,515'535,8.73
#area34591,Natsume Yuujinchou Roku,TV,(11 eps),2017,75'915,8.73
#area2001,Tengen Toppa Gurren Lagann,TV,(27 eps),2007,840'569,8.73
#area36456,Boku no Hero Academia 3rd Season,TV,(25 eps),2018,459'987,8.72
#area5258,Hajime no Ippo: New Challenger,TV,(26 eps),2009,135'040,8.72
#area11665,Natsume Yuujinchou Shi,TV,(13 eps),2012,139'656,8.72
#area7311,Suzumiya Haruhi no Shoushitsu,Movie,(1 eps),2010,343'021,8.72
#area30276,One Punch Man,TV,(12 eps),2015,1'124'581,8.71
#area28957,Mushishi Zoku Shou: Suzu no Shizuku,Movie,(1 eps),2015,61'195,8.7
#area37208,Mo Dao Zu Shi,TV,(74 eps),2004,379'679,8.69
#area31757,Kizumonogatari II: Nekketsu-hen,Movie,(1 eps),2016,157'809,8.68
#area1535,Death Note,TV,(37 eps),2006,1'551'405,8.67
#area34612,Saiki Kusuo no Ψ-nan 2,TV,(24 eps),2018,98'474,8.67
#area30484,Steins;Gate 0,TV,(23 eps),2018,304'971,8.67
#area12365,Bakuman. 3rd Season,TV,(25 eps),2012,193'945,8.66
